step_index,x,y,cost,inter,fitness,sum_nutrients
0,-0.16199135781822638,0.7723471236509412,0.6227612794196749,-42.96300988110503,-42.34024860168535,-42.34024860168535
0,0.6021958602756505,0.3251714167483688,0.46837630440327216,-44.39785233297141,-43.92947602856814,-87.69436542362334
0,0.016782111899145087,0.9091054244841539,0.826754312106309,-42.70993152823841,-41.8831772161321,-83.34908910145042
0,0.31575529947575487,0.527624544785426,0.3780890694070516,-44.684921136053276,-44.30683206664622,-44.30683206664622
0,-0.8782414033052423,0.6211371778461514,1.1571193561822426,-40.16073002067587,-39.00361066449363,-154.75107528953367
0,-0.7044010716015671,0.6119455420907866,0.8706582161582226,-41.11676789299232,-40.246109676834095,-80.23191060892549
0,0.044223367037059716,-0.7958428243588892,0.6353215072756283,-42.69234062847946,-42.05701912120383,-83.50582742638167
0,-0.12334466078979331,-0.8688874439259787,0.77017929555757,-42.14963843467044,-41.379459139112875,-82.54072289847859
0,-0.06094536371888849,-0.36498189046906115,0.13692611772919738,-46.624963273242116,-46.48803715551292,-183.1117158252508
0,-0.24079592527733684,0.657720142103803,0.49057846295921564,-43.43771532696768,-42.94713686400846,-42.94713686400846
0,0.6086037931284984,0.5474485136278548,0.6700984520837436,-42.73671050983686,-42.06661205775312,-42.06661205775312
0,0.7185037512914834,-0.8905511346409724,1.309328964030257,-38.20358020912643,-36.89425124509617,-146.32619582952552
0,-0.8312604322173598,-0.6723426686678264,1.1430385702815664,-39.10081614234106,-37.95777757205949,-75.40438571852351
0,-1,-0.21239085337914365,1.045109874599121,-40.83441476073693,-39.789304886137806,-79.4121224337656
0,-0.2797053276409076,0.907356059783744,0.9015300895369887,-41.927646494467574,-41.02611640493058,-41.02611640493058
0,0.16101681838811155,-0.9233547675426215,0.8785104425475186,-41.22683775457891,-40.348327312031394,-40.348327312031394
0,0.019696636405006317,0.5155476611481169,0.2661773484009646,-44.98180897973853,-44.715631631337565,-176.8852632281664
0,-0.36698969109984847,-0.5525214589852736,0.43996139601277756,-43.90386212449026,-43.46390072847748,-169.6504847943315
0,-0.03517625863560392,-0.9438697407205041,0.8921274566193905,-41.4881281630976,-40.59600070647821,-40.59600070647821
0,0.803283351049386,-0.6677964597813146,1.0912162537695882,-40.087442204654785,-38.9962259508852,-155.02742667741174
0,-0.3521059185045287,0.8335361953678967,0.8187611668343062,-41.792359149939855,-40.97359798310555,-81.77044015922013
0,0.07907447037816273,-0.5729837249665329,0.3345631209421104,-44.6894812867523,-44.35491816581019,-88.0778052910704
0,0.4664620774137863,0.20151468374031256,0.25819503742814337,-46.209809350838064,-45.95161431340992,-91.88476839846942
0,-0.14742347803859096,-0.11295165458511214,0.034491758150509394,-47.73350695428366,-47.69901519613315,-142.92263148438505
0,-0.47563342816813714,0.6239099775217574,0.6154908180421743,-42.45259070501777,-41.837099886975594,-41.837099886975594
0,0.1287835389899492,0.5657425050908862,0.33664978198128714,-44.59737223163824,-44.26072244965695,-44.26072244965695
0,-0.7214839975737599,-0.5878922674516343,0.8661564768844371,-40.398146974679314,-39.53199049779488,-39.53199049779488
0,0.2221540020748125,-0.6694696862083758,0.4975420613897969,-43.155810123876684,-42.65826806248689,-42.65826806248689
0,-0.5288447483902934,-0.412110041496086,0.4495114542018984,-43.61556038482397,-43.166048930622075,-126.53942266921447
0,0.9064759431734475,0.20109440189347172,0.8621375940250844,-42.617693801540256,-41.75555620751517,-41.75555620751517
0,-0.013032430880519419,0.5032103127172651,0.25339046307966323,-45.06383318685768,-44.81044272377802,-44.81044272377802
0,0.2146862248583592,-0.029354004340347517,0.04695183271474711,-47.56558183298688,-47.51863000027213,-47.51863000027213
0,0.7740142558175607,0.744265766505495,1.1530295994008242,-39.53030930171129,-38.37727970231047,-38.37727970231047
0,0.15218162774657937,0.5295544992900231,0.3035872155419055,-44.89096549116257,-44.587378275620665,-89.12052752227689
0,0.10388079036584874,-0.10677678005396962,0.022192499365727217,-47.56115101974338,-47.53895852037765,-47.53895852037765
0,-0.8573196025979444,-0.16369047689526234,0.7617914732248957,-42.140939015422774,-41.37914754219788,-123.58108116219594
0,-0.18021810903133684,0.3680832324867691,0.16796383286073974,-45.98017814535085,-45.812214312490106,-45.812214312490106
0,0.08204680024332044,0.7603893803713904,0.5849236872117544,-43.301375266863744,-42.71645157965199,-127.61920480825796
0,0.7389436131022467,-0.20033487842344266,0.5861717268575384,-44.550390951601244,-43.96421922474371,-43.96421922474371
0,-0.5057062638281455,-0.2633353382653952,0.32508432565437206,-45.218345991528906,-44.89326166587453,-177.8866979387655
0,0.006290860670806753,0.8052826853012554,0.6485197781739801,-43.069826729299706,-42.42130695112573,-42.42130695112573
0,0.7810390935560847,0.5109978085846933,0.8711408260412693,-41.439556556210654,-40.568415730169384,-40.568415730169384
0,0.5145931653224214,0.019039908320439336,0.2651686439053996,-46.359614864421474,-46.094446220516076,-91.91081116269822
0,0.9704427295543041,0.32920061284678037,1.050132134843504,-41.52022034441521,-40.470088209571706,-40.470088209571706
0,0.41353027708455503,-0.024410481378062926,0.1716031616667376,-46.953163732788695,-46.78156057112196,-93.04911350300077
